importId;name;code;description;internalDescription;productSubTypeSelect;productFamily.importId;productCategory.importId;expense;procurementMethodSelect;unit.importId;productTypeSelect;salePrice;saleCurrency.code;purchasePrice;purchaseCurrency.code;defaultSupplierPartner.importId;startDate;endDate;saleSupplySelect;costPrice;hasWarranty;warrantyNbrOfMonths;isPerishable;perishableNbrOfMonths;defaultBillOfMaterial.importId;managPriceCoef;picture_fileName;isActivity;productVariantConfig.importId;manageVariantPrice
182;BIJOUX / ACC PERLES A SOUDER  FLEURUS                       ;61154800;"<p>#instacr&eacute;a, la collection sp&eacute;ciale DIY sign&eacute;e par des cr&eacute;atrices &agrave; la pointe des tendances&nbsp;!</p>
<p>Les perles &agrave; souder ne sont plus r&eacute;serv&eacute;es qu&rsquo;aux enfants&nbsp;! Faciles et ludiques, avec leurs couleurs vives, elles s&eacute;duisent aujourd&rsquo;hui les cr&eacute;atrices branch&eacute;es&nbsp;! Sendr&eacute;e est conquise et nous livre ses motifs pr&eacute;f&eacute;r&eacute;s&nbsp;! Cassettes vintage, n&oelig;uds, cupcakes, t&ecirc;tes de mort, &eacute;toiles&hellip; Elle les interpr&egrave;te en accessoires de mode ou de d&eacute;coration. Laissez-vous s&eacute;duire par ses cr&eacute;ations qui enchantent le quotidien&nbsp;!</p>
<p>L'auteur : Sendr&eacute;e<br /> Passionn&eacute;e par l&rsquo;Asie, la couleur et les motifs, Sandra, la cr&eacute;atrice de Sendr&eacute;e, imagine des bijoux et des accessoires. Elle aime par-dessus tout explorer de nouvelles techniques et partager ses petits secrets&nbsp;!</p>";;;7;127;false;buy;1;storable;5.96;EUR;5.6588;EUR;16;TODAY[1d];;1;;false;;false;;;;http://www.dalbe.fr/img/p/6/2/4/9/6249.jpg;;;
183;LES SACS ET TOTE BAGS         FLEURUS                       ;61154900;"<p>#instacr&eacute;a, la collection sp&eacute;ciale DIY sign&eacute;e par des cr&eacute;atrices &agrave; la pointe de la mode</p>
<p>Nous voulons toutes des sacs qui donnent de la personnalit&eacute; &agrave; nos tenues&nbsp;! Unis ou &agrave; motifs, chic ou d&eacute;contract&eacute;s&hellip; en voil&agrave; toute une gamme d&eacute;clin&eacute;e par la cr&eacute;atrice de La griffe Miranda. Photographi&eacute;s &eacute;tape par &eacute;tape, les mod&egrave;les sont simples &agrave; coudre. Laissez-vous guider pour concr&eacute;tiser vos envies&nbsp;: la mode, c&rsquo;est tout de suite et maintenant&nbsp;!</p>
<p>L'auteur : La griffe Miranda<br /> La Griffe Miranda est une marque de sacs et d&rsquo;accessoires &agrave; l&rsquo;esprit d&eacute;licieusement d&eacute;cal&eacute;. Sa cr&eacute;atrice, Ana&iuml;s, travaille des formes simples qu&rsquo;elle associe &agrave; des motifs color&eacute;s, des rayures, des n&oelig;uds en tissu ou des pompons&hellip; Pour #instacr&eacute;a, elle livre ses mod&egrave;les pr&eacute;f&eacute;r&eacute;s et ses petits secrets de couturi&egrave;re&nbsp;!</p>";;;7;43;false;buy;1;storable;5.96;EUR;5.6588;EUR;16;TODAY[1d];;1;;false;;false;;;;http://www.dalbe.fr/img/p/6/2/5/0/6250.jpg;;;
184;CAKE DESIGN EN PATE A SUCRE   EDITIONS DE SAXE              ;61155100;"<p>Avec ce livre, vos g&acirc;teaux vont &ecirc;tre bons et beaux !</p>
<p>3 recettes de base vous sont donn&eacute;es pour la confection de vos g&acirc;teaux, l&rsquo;auteure vous propose ensuite 19 id&eacute;es pour les d&eacute;corer avec la p&acirc;te &agrave; sucre, en fonction de l&rsquo;&eacute;v&egrave;nement et de votre humeur : anniversaire, mariage, bapt&ecirc;me, ou tout simplement pour faire plaisir et vous amuser.</p>
<p>Vous trouverez tous les conseils pour acheter la p&acirc;te &agrave; sucre ou pour la faire vous-m&ecirc;me, la colorer et la conserver.</p>";Réf. fournisseur : G46742;;7;137;false;buy;1;storable;5.18;EUR;4.4313;EUR;21;TODAY[1d];;1;;false;;false;;;;http://www.dalbe.fr/img/p/6/2/5/3/6253.jpg;;;
185;MAKE MY PARTY                 EYROLLES                      ;61155200;"<div id=""blub"" class=""tab-content"" style=""display: block;"">
<p>Si je vous dis <em>Girls just wanna have fun</em>, vous pensez quoi&nbsp;? Cindy Lauper, certes&nbsp;! Mais encore... Des filles qui ne se prennent pas au s&eacute;rieux, du rire, du fun&nbsp;? On y est presque... un cocktail, du rose, du fromage, un mur pi&ntilde;ata en couverture de survie et... TA-DA voil&agrave; votre party&nbsp;! Parce que recevoir et organiser une f&ecirc;te n'est pas forc&eacute;ment r&eacute;serv&eacute; aux <em>""desperates housewives""</em>, voici votre guide d&eacute;complex&eacute; en 200 pages pour vous organiser, sans y penser...</p>
<p>Avec 25 pas &agrave; pas, une dizaine de recettes, un camion de conseils et d'anecdotes indispensables... <em>Make my party</em> &eacute;clabousse le gla&ccedil;age parfait de la pi&egrave;ce mont&eacute;e, pour vous apprendre &agrave; transposer et d&eacute;velopper votre propre cr&eacute;ativit&eacute;.</p>
</div>";Réf. fournisseur : G13631;;7;137;false;buy;1;storable;15.19;EUR;13.0332;EUR;21;TODAY[1d];;1;;false;;false;;;;http://www.dalbe.fr/img/p/6/2/5/4/6254.jpg;;;
186;BIJOUX EN ELASTIQUES RAINBOWLOOM                            ;61155300;"<p>Cr&eacute;e tes bijoux avec des &eacute;lastiques color&eacute;s.</p>
<p>D&eacute;couvre de nombreux mod&egrave;les et personnalise-les.</p>
<p>Partage et &eacute;change tes cr&eacute;ations avec tes amis.</p>
<p><br /><br /></p>";Réf. fournisseur : LC8938;;7;127;false;buy;1;storable;5.9;EUR;5.4427;EUR;17;TODAY[1d];;1;;false;;false;;;;http://www.dalbe.fr/img/p/6/2/5/1/6251.jpg;;;
187;LE NU                                                       ;61155400;;Réf. fournisseur : PARRAMON;;7;133;false;buy;1;storable;3.79;EUR;3.57;EUR;24;TODAY[1d];;1;;false;;false;;;;;;;
188;L'ANATOMIE                                                  ;61155500;;Réf. fournisseur : PARRAMON;;7;134;false;buy;1;storable;3.79;EUR;3.57;EUR;24;TODAY[1d];;1;;false;;false;;;;;;;
189;LE PAPIER                                                   ;61155800;;Réf. fournisseur : PARRAMON;;7;150;false;buy;1;storable;17.62;EUR;16.67;EUR;24;TODAY[1d];;1;;false;;false;;;;;;;
190;LE PORTRAIT                                                 ;61155900;;Réf. fournisseur : PARRAMON;;7;133;false;buy;1;storable;3.79;EUR;3.57;EUR;24;TODAY[1d];;1;;false;;false;;;;;;;
191;LA RELIURE                                                  ;61156000;;Réf. fournisseur : PARRAMON;;7;56;false;buy;1;storable;17.62;EUR;16.67;EUR;24;TODAY[1d];;1;;false;;false;;;;;;;
