importId;code;name;parent_code
278;COLL;COLLES POUR TEXTILE ;62
279;GOUA;GOUACHE ENFANTS ;41
280;GOUA;GOUACHE AU DOIGT ;41
281;COUL;COULEURS A LA CASEINE ;44
282;POUR;POURING ;63
283;HUIL;HUILE FINE ;15
284;GOMM;GOMMES, RESINES, BASES ;17
285;PIGM;PIGMENTS EN POTS ;64
286;AERO;AEROSOLS ACRYLIQUE ;40
287;ACCE;ACCESSOIRES AEROSOLS ACRYLIQUE ;40
288;SUPP;SUPPORTS STREET ART ;65
289;ATOM;ATOMISEURS DE PEINTURE ;66
290;HUIL;HUILE A L'EAU ;15
291;ACRY;ACRYLIQUE SCOLAIRE ;40
292;ACRY;ACRYLIQUE EXTRA MATE ;40
293;ENCR;ENCRE AQUARELLE ;25
294;TOIL;TOILE AU METRE EN ROULEAU ;67
295;PANN;PANNEAUX BOIS ;68
296;CHAS;CHASSIS NUS ;67
297;CART;CARTONS TOILES ;67
298;CHAS;CHASSIS ENTOILES MIXTES COTON-POLYESTER ;67
299;CHAS;CHASSIS ENTOILES LIN ;67
300;CHAS;CHASSIS ENTOILES COTON ;67
301;CHAS;CHASSIS ENTOILES LIN NATUREL ;67
302;SUPP;SUPPORTS BOIS ;69
303;RAPH;RAPHIA ;63
304;SUPP;SUPPORTS MEDIUM ;69
305;ACCE;ACCESSOIRES CANNAGE ;70
306;OUTI;OUTILS CANNAGE ;70
307;PALE;PALETTES ;21
308;COUL;COULEURS POUR PORCELAINE EN FEUTRES ;44
309;CHEV;CHEVALETS ;71
310;LUTR;LUTRINS ;71
311;SIEG;SIEGE BEAUX ARTS ;71
312;PORT;PORTE-CARTONS BOIS ;71
313;MANN;MANNEQUINS ;71
314;MAIN;MAINS ARTICULEES ;71
315;CHEV;CHEVAUX ;71
316;OUTI;OUTILS DE MODELAGE ;72
317;SCUL;SCULPTURE SUR BOIS ;73
318;MATI;MATIERES A MODELER ;72
319;PATE;PATE A MODELER ;72
320;ACCE;ACCESSOIRES MODELAGE ;72
321;TERR;TERRES A MODELER ;72
322;PIER;PIERRE RECONSTITUEE ;72
323;BOUG;BOUGIE ET ACCESSOIRES ;63
324;ACCE;ACCESSOIRES MOSAISTE ;76
325;ACCE;ACCESSOIRES SCRAPBOOKING ;78
326;ACCE;ACCESSOIRES DE MODELAGE ;72
327;PROD;PRODUITS DE MOULAGE ;79
328;GRAV;GRAVURE SUR METAL ;42
329;PROD;PRODUITS DE COULAGE ;79
330;AUXI;AUXILIAIRES DE MOULAGE ;79
331;ACCE;ACCESSOIRES DE MOULAGE ;79
332;SCUL;SCULPTURE SUR PIERRE ;73
333;SUPP;SUPPORTS POLYSTYRENE ;69
334;PALE;PALETTES ET ACCESSOIRES ;80
335;MASQ;MASQUES ;81
336;COUL;COULEURS MAQUILLAGE ;80
337;COUL;COULEURS REPOSITIONNABLES ;44
338;PAPI;PAPIERS SPECIAUX ;82
339;KITS;KITS DIVERS ;83
340;ARDO;ARDOISES ;84
341;POCH;POCHOIRS ;80
342;COUL;COULEURS POUR VITRAIL ET AUXILIAIRES ;44
343;COUL;COULEURS POUR VITRAIL EN FEUTRES ;44
344;COUL;COULEURS POUR SOIE ET AUXILIAIRES ;44
345;COUL;COULEURS POUR TISSU EN FEUTRES ;44
346;COUL;COULEURS A LA CRAIE ;44
347;COUL;COULEURS TOUS SUPPORTS EN FEUTRES ;44
348;COUL;COULEURS POUR CERAMIQUE EN FEUTRES ;44
349;COLL;COLLES SPECIALES ;62
350;COUL;COULEURS TOUS SUPPORTS EN FLACONS ;44
351;COUL;COULEURS POUR CERAMIQUE ET AUXILIAIRES ;44
352;COUL;COULEURS 3D TOUS SUPPORTS ;44
353;COFF;COFFRETS PEINTURE ENFANTS ;41
354;PYRO;PYROGRAVURE ;42
355;GRAV;GRAVURE SUR VERRE ;42
356;PEIN;PEINTURE POUR CUIR ET TISSU ;85
357;COUL;COULEURS ET ADJUVANTS ;86
358;ACCE;ACCESSOIRES ;86
359;BALS;BALSA ;87
360;TUBE;TUBES ;87
361;CORD;CORDES A PIANO ;87
362;SAMB;SAMBA ;87
363;TIGE;TIGES FILETEES ;87
364;FIL ;FIL LAITON ;87
365;FEUI;FEUILLES ADH ;87
366;POCH;POCHOIRS ;63
367;POCH;POCHOIRS ;48
368;CART;CARTONS A DESSIN ;88
369;PRES;PRESS-BOOKS ;89
370;BOOK;BOOKS ;89
371;MINE;MINES ET PORTE-MINES ;35
372;DIVE;DIVERS ;89
373;PAPI;PAPIERS PLASTIQUE ;82
374;PRES;PRESENTATION ;90
375;PORT;PORTE-BOOKS ;89
376;FEUI;FEUILLETS POUR BOOKS ;89
377;HUIL;HUILE ALKYDE ;15
378;PINC;PINCES ;35
379;PORT;PORTE-DOCUMENTS ;88
380;PORT;PORTE-CARTONS A DESSIN ;88
381;POIG;POIGNEE PORTE-CARTON ;88
382;CRAY;CRAYONS DE COULEUR ;33
383;CRAY;CRAYONS AQUARELLABLES ;33
384;ACCE;ACCESSOIRES DE BUREAU ;91
385;NOTE;NOTES ADHESIVES ET INDEX ;11
386;RANG;RANGEMENT ;90
387;CHEM;CHEMISES ET POCHETTES ;90
388;CLAS;CLASSEURS ;90
389;INTE;INTERCALAIRES ;90
390;AGEN;AGENDAS ;11
391;ANNE;ANNEAUX A RELIER ;56
392;BAGU;BAGUETTES A RELIER ;56
393;CAHI;CAHIERS ;11
394;CALC;CALCULATRICES ;84
395;CART;CARTOUCHES D'ENCRE ;16
396;CLES;CLES MEMOIRE ;84
397;COMP;COMPAS ;52
398;GOUA;GOUACHE ;95
399;MARQ;MARQUEURS TABLEAUX BLANCS ;16
400;PERF;PERFORATION ;56
401;COUV;COUVRE-LIVRES ;84
402;REGL;REGLES ET EQUERRES ;52
403;STYL;STYLOS ;16
404;REGI;REGISTRES ;95
405;RAME;RAMETTES COPIE ;11
406;EPON;EPONGES ;84
407;FEUT;FEUTRES ;16
408;ETIQ;ETIQUETTES ADHESIVES ;11
409;TRAN;TRANSFERT ;11
410;STYL;STYLOS PLUME ;16
411;FEUT;FEUTRES D'ECRITURE ;14
412;CORR;CORRECTION ;84
413;FEUT;FEUTRES PINCEAUX ;14
414;CARN;CARNETS ;11
415;CRAY;CRAYONS GRAPHITE ;35
416;CRAY;CRAYONS ANIMATION ;35
417;CRAY;CRAYONS MONOCHROME ;33
418;ACCE;ACCESSOIRES CRAYONS ;33
419;CRAY;CRAYONS SPECIAUX ;35
420;TAIL;TAILLE-CRAYONS ET TAILLE-MINES ;35
421;GOMM;GOMMAGE ;35
422;PINC;PINCEAUX SCOLAIRE ;47
423;PINC;PINCEAUX HUILE ;47
424;PINC;PINCEAUX ACRYLIQUE ;47
425;PINC;PINCEAUX AQUARELLE ;47
426;PINC;PINCEAUX NUMERIQUES ;47
427;PINC;PINCEAUX SPECIAUX ;47
428;PINC;PINCEAUX SCULPTEURS ;47
429;PINC;PINCEAUX PASTEL ;47
430;PINC;PINCEAUX 3D ;47
431;CALA;CALAMES ;59
432;ENCR;ENCRE POUR MARQUEURS ;14
433;FEUT;FEUTRES ENFANTS ;48
434;FEUT;FEUTRES COLORIAGE ;14
435;MARQ;MARQUEURS A L'EAU ;14
436;FEUT;FEUTRES ENCRE DE CHINE ;14
